Placement ID,Flight ID,CMP,Fill Rate,Time Bound,Mean Latency of Failure,Mean Latency of Success,Standard Deviation of Failure,Standard Deviation of Success
05fb7303dfb23eed361fc53c,3028,1.63,0.0239,2.0,0.5178165125,0.5436040163,0.2151189723,0.1749964888
05fb7303dfb23eed361fc53c,3029,0.95,0.0354,2.0,0.5382851725,0.6626874208,0.1892900719,0.1399831258
05fb7303dfb23eed361fc53c,3031,0.83,0.0307,2.0,0.4141199092,0.602869153,0.1910639091,0.056137826
05fb7303dfb23eed361fc53c,4326,0.49,0.0393,2.0,0.5144872189,0.3872280121,0.1930866041,0
05fb7303dfb23eed361fc53c,4579,1.49,0.073,2.0,0.54641024,0.3937356472,0.1852213703,0.0084002146
114d876cfbfa3fce78991a84,3028,1.63,0.0125,2.0,0.5678078055,0.3713209629,0.1968383617,0
114d876cfbfa3fce78991a84,3030,1.22,0.0074,2.0,0.4294061065,0.7549579144,0.2047179031,0
114d876cfbfa3fce78991a84,3031,0.83,0.0106,2.0,0.4909363323,0.5604770184,0.181817653,0
114d876cfbfa3fce78991a84,4557,0.05,0.0145,2.0,0.1602984575,0.6707959175,0.0108931584,0
1850058ee80d91ef589ff2c7,3028,1.63,0.0148,2.0,0.6153997091,0.8620069027,0.1660931647,0
1b05f39060b36f7f2e807413,4326,0.49,0,2.0,0.5240172863,0.4308860302,0.2156307115,0
1bd5c06bc6c4e07b59c73b82,3353,1.1,0.6126,2.0,0.5094940927,0.3606244326,0.1918727433,0.0254423876
27256cc78bbedaa3c6ae6948,3028,1.63,0.0276,2.0,0.6252417564,0.4114689827,0.2050349061,0
27256cc78bbedaa3c6ae6948,3029,0.95,0.0426,2.0,0.4793880781,0.7175688744,0.1992897822,0
29ddb8f1e6610d698e8bb7c3,3029,0.95,0.0346,2.0,0.4215011597,0.7418279648,0.1652607452,0
29ddb8f1e6610d698e8bb7c3,3034,0.72,0.2039,2.0,0.0136186123,0.00943772,0.0046533706,0.0024877894
300634021395c08843ab9ec7,3029,0.95,0.0466,2.0,0.4748566548,0.7155041695,0.1852450939,0
300634021395c08843ab9ec7,3351,1.07,0.2542,2.0,0.575910598,0.5861653487,0.1979174976,0.1902266394
35a4c9c33e5f1c960eb8a546,3031,0.83,0.0145,2.0,0.349822933,0.7373859882,0.1811976763,0
35a4c9c33e5f1c960eb8a546,4326,0.49,0.0323,2.0,0.4077827334,0.3228518963,0.1996722077,0
35e70a3bda4d5d7c92a90b3b,3028,1.63,0.0295,2.0,0.4954079601,0.6068977118,0.2264408487,0.2083761834
35e70a3bda4d5d7c92a90b3b,3029,0.95,0.035,2.0,0.5052629036,0.5462207198,0.2413306846,0.1876225416
35e70a3bda4d5d7c92a90b3b,3030,1.22,0.0281,2.0,0.386574394,0.2005075216,0.2280956759,0.0676417015
35e70a3bda4d5d7c92a90b3b,3031,0.83,0.0342,2.0,0.4049084738,0.3049187183,0.2254950454,0.1543798573
35e70a3bda4d5d7c92a90b3b,3032,0.66,0.0299,2.0,0.3960303944,0.2369539738,0.2315461757,0
35e70a3bda4d5d7c92a90b3b,4050,0.58,0.1242,2.0,0.4623333575,0.4572995731,0.2393355988,0.1732224509
35e70a3bda4d5d7c92a90b3b,4164,0.38,0.0616,2.0,0.3789393688,0.7461369038,0.2246221689,0
35e70a3bda4d5d7c92a90b3b,4203,0.97,0.2679,2.0,0.1987133187,0.028871417,0.0712501361,0.0032371666
35e70a3bda4d5d7c92a90b3b,4326,0.49,0.0337,2.0,0.4916465693,0.3348526955,0.2429625687,0.0378376775
36ae4469422b1245774665fe,3028,1.63,0.0358,2.0,0.5023030368,0.5628955364,0.1641052908,0.1561557465
36ae4469422b1245774665fe,3029,0.95,0.0431,2.0,0.4682435308,0.5831454992,0.1677265585,0.1431050929
36ae4469422b1245774665fe,3030,1.22,0.0922,2.0,0.4118781355,0.300369978,0.2548581556,0
36ae4469422b1245774665fe,3031,0.83,0.0624,2.0,0.3805775245,0.2459969521,0.2514344331,0
4201333893c1dd3e65322877,4050,0.58,0.0326,2.0,0.5180210756,0.7150578499,0.1916142118,0
43823aa519051d599fb3bff9,4326,0.49,0.0386,2.0,0.3843188286,0.4448289871,0,0
4acf8626ba7aa88fd8c98642,3028,1.63,0.0228,2.0,0.6121014448,0.3212740421,0.1644705197,0
4acf8626ba7aa88fd8c98642,3029,0.95,0.0279,2.0,0.4470367865,0.3705801964,0.173115841,0
4b939afd0ce623a554d4b128,3028,1.63,0.0294,2.0,0.4674475458,0.7190464735,0.1808295314,0.0020429914
4b939afd0ce623a554d4b128,3030,1.22,0.0276,2.0,0.4613391331,0.2389698029,0.2459116536,0
5433ab62e7274101801b7a08,3031,0.83,0.0339,2.0,0.625369072,0.1331458092,0.0324764563,0
5433ab62e7274101801b7a08,3034,0.72,0.1644,2.0,0.0093356371,0.0079579353,2.3551658947887585E-4,0
55d177078be5cf32e26945cf,4644,0.08,0.3249,2.0,0.4560688337,0.7173688412,0.2070424223,0
5e112b86b54e3a8bce559e21,3028,1.63,0.0793,2.0,0.4015749454,0.7322800159,0.1743238521,0
5e112b86b54e3a8bce559e21,4326,0.49,0.0825,2.0,0.548197031,0.3276870251,0.2498222414,0
7723a46e054ef3ed195ccf54,3029,0.95,0.0364,2.0,0.5578998498,0.3700549603,0.2817430185,0
7723a46e054ef3ed195ccf54,3031,0.83,0.0493,2.0,0.6379058361,0.236497879,0.3252257622,0
7723a46e054ef3ed195ccf54,4326,0.49,0.0443,2.0,0.3681544781,0.605155468,0.3330387525,0.2243229858
7b942e03f80ffbf659cc2ae5,3028,1.63,0.0186,2.0,0.5198382735,0.5193425417,0.2051342767,0.1992954446
7b942e03f80ffbf659cc2ae5,3029,0.95,0.013,2.0,0.5409961806,0.8179171085,0.1894904091,0
7b942e03f80ffbf659cc2ae5,3031,0.83,0.0143,2.0,0.4240310842,0.2353439331,0.2313602803,0
7b942e03f80ffbf659cc2ae5,3034,0.72,0.0655,2.0,0.0098158121,0.0098674297,0.0022749459,3.04245299362639E-4
7b942e03f80ffbf659cc2ae5,3234,0.57,0.0213,2.0,0.3382487297,0.1622588634,0.2041364646,0
7b942e03f80ffbf659cc2ae5,4415,0.08,0.0573,2.0,0.6921664079,0.7097040415,0.125677962,0.0047251459
7b942e03f80ffbf659cc2ae5,4667,0.2,0.0614,2.0,0.2104406357,0.2126860619,0.020270739,0
7d918a857d49ee1d809b06e5,4326,0.49,0.0752,2.0,0.7100110054,0.7139010429,0,0
7de34667719433ecdcab94f0,3028,1.63,0.0306,2.0,0.4400621142,0.3294739723,0.3191598718,0
7de34667719433ecdcab94f0,3029,0.95,0.0351,2.0,0.2639456987,0.7348201275,0.3399942743,0
7de34667719433ecdcab94f0,4326,0.49,0.0452,2.0,0.0053445101,0.7121610641,0.0023863546,0
8156b16e789e1cd8d741aa82,3028,1.63,0.0321,2.0,0.5419111206,0.7171840668,0.189932744,0
8156b16e789e1cd8d741aa82,3029,0.95,0.0242,2.0,0.5505557833,0.520960927,0.1959588151,0.1958351866
8156b16e789e1cd8d741aa82,3034,0.72,0.0216,2.0,0.0244930136,0.0095270157,0.1764748083,0.0011901129
8156b16e789e1cd8d741aa82,3345,1.3,0.0313,2.0,0.5464475316,0.5754738221,0.1955996011,0.1706275735
8156b16e789e1cd8d741aa82,4326,0.49,0.0396,2.0,0.5281737932,0.364112258,0.1933976901,0.2441678886
8156b16e789e1cd8d741aa82,4407,1.75,0.0266,2.0,0.6828710599,0.8859393597,0.2329187295,0.2283106004
8156b16e789e1cd8d741aa82,4653,0.11,0.0022,2.0,0.2388892972,0.2621887028,0.0393407322,0.0206459962
8156b16e789e1cd8d741aa82,4667,0.2,0.0392,2.0,0.236697939,0.24484694,0.0365188282,0.0139209855
82fece0b3fd7c0394e26eafe,3028,1.63,0.0207,2.0,0.5576139539,0.3717418909,0.184305501,0.028345341
82fece0b3fd7c0394e26eafe,3029,0.95,0.0163,2.0,0.4801069555,0.5540410678,0.1775097953,0.2950285839
82fece0b3fd7c0394e26eafe,3030,1.22,0.0229,2.0,0.4548374538,0.5723619461,0.2095299728,0
82fece0b3fd7c0394e26eafe,4644,0.08,0.1909,2.0,0.5385788547,0.4349796772,0.2083894442,0.1683323319
83f5dae509db8e5458fca339,3028,1.63,0.0291,2.0,0.520690373,0.6818811893,0.1997998256,0
